date,weekly_cases,population,t2m_mean,rain_mm,rh_mean
2020-01-06,63,2500000,24.64,106.86,64.01
2020-01-13,57,2500000,27.62,113.43,55.46
2020-01-20,89,2500000,27.0,142.48,59.92
2020-01-27,75,2500000,28.27,135.77,60.12
2020-02-03,74,2500000,28.06,126.15,59.57
2020-02-10,103,2500000,28.71,136.9,61.27
2020-02-17,81,2500000,29.85,129.17,62.53
2020-02-24,77,2500000,27.43,138.32,65.05
2020-03-02,86,2500000,30.67,98.23,74.96
2020-03-09,63,2500000,29.72,135.18,60.52
2020-03-16,98,2500000,30.58,109.38,63.8
2020-03-23,71,2500000,31.91,112.81,69.18
2020-03-30,86,2500000,30.83,113.54,69.97
2020-04-06,72,2500000,30.22,125.62,69.99
2020-04-13,74,2500000,29.88,104.35,76.79
2020-04-20,79,2500000,30.61,91.84,66.44
2020-04-27,59,2500000,30.75,65.09,74.46
2020-05-04,66,2500000,27.99,66.62,75.26
2020-05-11,73,2500000,28.64,61.94,82.24
2020-05-18,67,2500000,28.29,45.63,79.4
2020-05-25,68,2500000,28.51,26.16,77.84
2020-06-01,67,2500000,27.47,26.01,81.87
2020-06-08,76,2500000,26.05,21.09,74.11
2020-06-15,55,2500000,25.62,0.16,67.61
2020-06-22,71,2500000,26.59,0.0,69.55
2020-06-29,51,2500000,22.24,0.0,67.45
2020-07-06,63,2500000,25.45,0.0,70.05
2020-07-13,55,2500000,25.48,0.0,71.17
2020-07-20,64,2500000,20.18,1.2,65.04
2020-07-27,48,2500000,20.51,0.0,83.27
2020-08-03,61,2500000,23.07,0.0,73.04
2020-08-10,53,2500000,22.11,0.0,70.4
2020-08-17,51,2500000,20.99,0.0,64.09
2020-08-24,37,2500000,20.29,0.0,66.19
2020-08-31,47,2500000,19.34,0.0,66.38
2020-09-07,48,2500000,21.54,0.0,56.42
2020-09-14,48,2500000,19.05,0.0,58.17
2020-09-21,39,2500000,19.78,0.0,57.07
2020-09-28,44,2500000,20.14,0.0,57.78
2020-10-05,44,2500000,20.47,0.0,61.93
2020-10-12,30,2500000,20.31,11.68,59.86
2020-10-19,35,2500000,21.94,15.8,55.7
2020-10-26,49,2500000,21.01,28.88,57.3
2020-11-02,47,2500000,21.3,25.72,53.07
2020-11-09,43,2500000,20.28,59.77,49.61
2020-11-16,37,2500000,21.47,44.75,59.89
2020-11-23,41,2500000,22.38,74.04,51.78
2020-11-30,51,2500000,23.51,62.66,65.74
2020-12-07,63,2500000,22.62,83.27,58.2
2020-12-14,53,2500000,24.81,87.03,54.54
2020-12-21,53,2500000,25.04,95.55,60.31
2020-12-28,71,2500000,27.81,98.91,49.08
2021-01-04,54,2500000,25.51,130.28,51.91
2021-01-11,82,2500000,27.84,127.92,53.74
2021-01-18,71,2500000,27.34,133.2,55.31
2021-01-25,62,2500000,27.12,115.9,52.94
2021-02-01,87,2500000,27.19,113.23,59.1
2021-02-08,83,2500000,27.55,130.45,52.15
2021-02-15,76,2500000,29.07,137.96,51.04
2021-02-22,90,2500000,29.49,142.25,56.09
2021-03-01,83,2500000,31.1,133.35,59.79
2021-03-08,91,2500000,29.62,132.77,64.9
2021-03-15,88,2500000,30.39,114.89,66.57
2021-03-22,95,2500000,28.55,118.81,62.4
2021-03-29,78,2500000,29.26,127.08,73.55
2021-04-05,82,2500000,30.57,97.66,67.63
2021-04-12,77,2500000,31.07,103.0,81.87
2021-04-19,71,2500000,30.07,95.76,69.72
2021-04-26,48,2500000,29.56,83.93,75.7
2021-05-03,81,2500000,30.07,68.69,66.29
2021-05-10,59,2500000,26.91,72.34,68.1
2021-05-17,75,2500000,26.16,61.61,86.63
2021-05-24,69,2500000,27.83,56.45,74.99
2021-05-31,47,2500000,27.22,47.63,73.41
2021-06-07,64,2500000,27.04,32.2,71.65
2021-06-14,62,2500000,27.19,18.08,71.2
2021-06-21,67,2500000,26.14,2.14,74.95
2021-06-28,57,2500000,24.99,13.84,76.88
2021-07-05,66,2500000,24.37,3.7,81.02
2021-07-12,54,2500000,24.36,0.0,66.94
2021-07-19,46,2500000,22.16,0.0,69.75
2021-07-26,55,2500000,22.49,0.0,74.63
2021-08-02,56,2500000,22.09,0.0,71.39
2021-08-09,68,2500000,19.71,0.0,69.35
2021-08-16,51,2500000,20.05,0.0,76.65
2021-08-23,47,2500000,22.1,0.0,75.31
2021-08-30,44,2500000,20.72,0.0,63.62
2021-09-06,30,2500000,20.02,0.0,66.34
2021-09-13,52,2500000,20.31,0.0,66.46
2021-09-20,42,2500000,21.23,0.0,55.65
2021-09-27,41,2500000,17.45,0.0,55.08
2021-10-04,33,2500000,19.81,0.0,51.78
2021-10-11,37,2500000,20.69,6.0,56.84
2021-10-18,41,2500000,17.73,0.7,60.7
2021-10-25,37,2500000,19.09,16.38,57.77
2021-11-01,39,2500000,21.46,24.64,52.19
2021-11-08,43,2500000,22.45,31.15,56.24
2021-11-15,30,2500000,20.75,37.85,51.41
2021-11-22,57,2500000,21.99,69.05,48.56
2021-11-29,44,2500000,21.06,76.27,54.1
2021-12-06,48,2500000,22.56,81.42,51.98
2021-12-13,67,2500000,25.63,86.95,52.59
2021-12-20,48,2500000,26.55,82.82,58.9
2021-12-27,47,2500000,25.3,110.04,63.3
